profile_id,type_profil,age,sexe,serie_ou_filiere,competences_clefs,objectif_ou_metier,filiere_associee,score_adéquation_global
STD_2026_0001,Étudiant,21,M,A1,Contrôle qualité HACCP; Process agroalimentaires; Résolution de problèmes,Biologiste industriel,IAA,50.94
STD_2026_0028,Étudiant,17,M,A1,Analyse Marché; Techniques de Vente; Résolution de problèmes,Directeur des Ventes,CAA,83.0
STD_2026_0029,Étudiant,18,M,A2,Droit des contrats; Rédaction juridique; Résolution de problèmes,Consultant Fiscaliste,DTJA,79.33
STD_2026_0030,Étudiant,19,M,L,Gestion des risques; Analyse financière; Résolution de problèmes,Scrum Master,EMP,45.15
STD_2026_0031,Étudiant,20,M,C,Comptabilité générale & analytique; Gestion de trésorerie; Résolution de problèmes,Comptable Senior,FIC,77.27
STD_2026_0032,Étudiant,16,F,D,Agronomie; Gestion d'exploitation; Résolution de problèmes,Chef d'exploitation,AEE,80.58
STD_2026_0033,Étudiant,16,M,S,Process agroalimentaires; Microbiologie; Résolution de problèmes,Biologiste industriel,IAA,82.1
STD_2026_0034,Étudiant,16,F,G,Chimie organique; Pharmacologie; Résolution de problèmes,Technicien supérieur en pharmacologie,PIP,51.52
STD_2026_0035,Étudiant,21,M,Technique,CAO Mécanique; Maintenance industrielle; Résolution de problèmes,Responsable Maintenance,EMII,88.38
STD_2026_0036,Étudiant,20,M,A,AutoCAD/Revit; Calcul de structures; Résolution de problèmes,Architecte collaborateur,GCA,44.04
STD_2026_0037,Étudiant,17,F,A1,Génie des procédés; Normes QHSE; Résolution de problèmes,Responsable d'extraction,ICMP,54.04
STD_2026_0038,Étudiant,19,M,A2,Microcontrôleurs IoT; Électronique numérique; Résolution de problèmes,Concepteur Électronique,ESIIA,47.26
STD_2026_0039,Étudiant,20,M,L,Génie Logiciel & Java/Web; Machine Learning; Résolution de problèmes,Développeur Fullstack,IGGLIA,54.76
STD_2026_0040,Étudiant,20,F,C,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,Designer UI/UX,IMTICIA,84.1
STD_2026_0041,Étudiant,16,F,D,Python / R Data; Statistiques inférentielles; Résolution de problèmes,Data Analyst,ISAIA,77.89
STD_2026_0042,Étudiant,19,F,S,Écotourisme & Biodiversité; Gestion de projets durables; Résolution de problèmes,Guide Patrimoine,TEE,72.92
STD_2026_0043,Étudiant,21,M,G,Gestion événementielle; Communication interculturelle; Résolution de problèmes,Directeur de l'Hébergement,TEH,73.5
STD_2026_0044,Étudiant,17,M,Technique,Negociation internationale; Techniques de Vente; Résolution de problèmes,Chef de Produit Marketing,CAA,61.42
STD_2026_0045,Étudiant,19,M,A,Rédaction juridique; Conseil d'entreprise; Résolution de problèmes,Consultant Fiscaliste,DTJA,78.6
STD_2026_0046,Étudiant,20,F,A1,Étude d'impact économique; Gestion des risques; Résolution de problèmes,Analyste Économique,EMP,69.44
STD_2026_0047,Étudiant,18,F,A2,Audit financier; Gestion de trésorerie; Résolution de problèmes,Directeur Financier (CFO),FIC,57.9
STD_2026_0048,Étudiant,18,M,L,Analyse des sols; Gestion d'exploitation; Résolution de problèmes,Chef d'exploitation,AEE,57.94
STD_2026_0049,Étudiant,20,F,C,Process agroalimentaires; Microbiologie; Résolution de problèmes,Responsable Qualité HACCP,IAA,71.82
STD_2026_0050,Étudiant,21,M,D,Pharmacologie; Chimie organique; Résolution de problèmes,Assistant de recherche galénique,PIP,69.54
STD_2026_0051,Étudiant,21,M,S,Électrotechnique; Automatisme PLC; Résolution de problèmes,Automaticien,EMII,87.26
STD_2026_0052,Étudiant,21,M,G,AutoCAD/Revit; Métré et devis; Résolution de problèmes,Chef de chantier BTP,GCA,65.37
STD_2026_0053,Étudiant,18,F,Technique,Géologie minière; Raffinage et extraction; Résolution de problèmes,Ingénieur QHSE,ICMP,74.89
STD_2026_0054,Étudiant,16,F,A,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Développeur IoT,ESIIA,29.23
STD_2026_0055,Étudiant,20,M,A1,Algorithmique & Python; Génie Logiciel & Java/Web; Résolution de problèmes,Développeur Fullstack,IGGLIA,75.99
STD_2026_0056,Étudiant,16,F,A2,UI/UX Design; Réseaux informatiques; Résolution de problèmes,Designer UI/UX,IMTICIA,73.57
STD_2026_0057,Étudiant,18,M,L,Machine Learning & Deep Learning; PowerBI & Analytics; Résolution de problèmes,Statisticien Décisionnel,ISAIA,46.59
STD_2026_0058,Étudiant,16,M,C,Ingénierie touristique; Guide & Médiation; Résolution de problèmes,Chef de projet Développement Durable,TEE,56.27
STD_2026_0059,Étudiant,18,F,D,Yield Management; Communication interculturelle; Résolution de problèmes,Responsable d'Agence de Voyage,TEH,73.72
STD_2026_0060,Étudiant,17,M,S,Marketing Digital; Analyse Marché; Résolution de problèmes,Directeur des Ventes,CAA,76.12
STD_2026_0061,Étudiant,16,M,G,Rédaction juridique; Conseil d'entreprise; Résolution de problèmes,Consultant Fiscaliste,DTJA,76.13
STD_2026_0062,Étudiant,19,F,Technique,Étude d'impact économique; Gestion des risques; Résolution de problèmes,Scrum Master,EMP,52.5
STD_2026_0063,Étudiant,16,M,A,Comptabilité générale & analytique; Contrôle de gestion; Résolution de problèmes,Contrôleur de Gestion,FIC,47.2
STD_2026_0064,Étudiant,18,M,A1,Gestion d'exploitation; Analyse des sols; Résolution de problèmes,Conseiller agricole,AEE,74.8
STD_2026_0065,Étudiant,20,M,A2,Process agroalimentaires; Microbiologie; Résolution de problèmes,Responsable Qualité HACCP,IAA,48.3
STD_2026_0066,Étudiant,21,M,L,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Délégué médical,PIP,42.09
STD_2026_0067,Étudiant,18,M,C,CAO Mécanique; Automatisme PLC; Résolution de problèmes,Concepteur Mécatronique,EMII,79.86
STD_2026_0068,Étudiant,19,F,D,Métré et devis; Calcul de structures; Résolution de problèmes,Architecte collaborateur,GCA,71.13
STD_2026_0069,Étudiant,16,F,S,Normes QHSE; Génie des procédés; Résolution de problèmes,Ingénieur QHSE,ICMP,91.52
STD_2026_0070,Étudiant,17,F,G,Signal & Traitement; C/C++ embarqué; Résolution de problèmes,Concepteur Électronique,ESIIA,51.14
STD_2026_0071,Étudiant,17,M,Technique,Machine Learning; Algorithmique & Python; Résolution de problèmes,Développeur Fullstack,IGGLIA,72.37
STD_2026_0072,Étudiant,18,M,A,UI/UX Design; Développement Web/Mobile; Résolution de problèmes,Designer UI/UX,IMTICIA,79.69
STD_2026_0073,Étudiant,19,M,A1,Python / R Data; PowerBI & Analytics; Résolution de problèmes,Data Scientist,ISAIA,48.97
STD_2026_0074,Étudiant,17,M,A2,Écotourisme & Biodiversité; Gestion de projets durables; Résolution de problèmes,Responsable Parc Naturel,TEE,68.34
STD_2026_0075,Étudiant,20,M,L,Management hôtelier; Gestion événementielle; Résolution de problèmes,Manager d'Hôtel,TEH,79.57
STD_2026_0076,Étudiant,16,M,C,Marketing Digital; Techniques de Vente; Résolution de problèmes,Business Developer,CAA,73.67
STD_2026_0077,Étudiant,18,F,D,Rédaction juridique; Analyse fiscale; Résolution de problèmes,Assistant Juridique,DTJA,71.38
STD_2026_0078,Étudiant,19,M,S,Gestion des risques; Étude d'impact économique; Résolution de problèmes,Analyste Économique,EMP,76.09
STD_2026_0079,Étudiant,20,M,G,Contrôle de gestion; Comptabilité générale & analytique; Résolution de problèmes,Comptable Senior,FIC,75.61
STD_2026_0080,Étudiant,17,M,Technique,Zootechnie; Agronomie; Résolution de problèmes,Responsable d'élevage,AEE,58.56
STD_2026_0081,Étudiant,18,M,A,Process agroalimentaires; Contrôle qualité HACCP; Résolution de problèmes,Responsable Qualité HACCP,IAA,55.92
STD_2026_0082,Étudiant,19,F,A1,Pharmacologie; Chimie organique; Résolution de problèmes,Technicien supérieur en pharmacologie,PIP,51.6
STD_2026_0083,Étudiant,21,F,A2,Automatisme PLC; Maintenance industrielle; Résolution de problèmes,Concepteur Mécatronique,EMII,51.33
STD_2026_0084,Étudiant,18,M,L,Métré et devis; Conduite de chantier BTP; Résolution de problèmes,Chef de chantier BTP,GCA,39.61
STD_2026_0085,Étudiant,21,F,C,Raffinage et extraction; Géologie minière; Résolution de problèmes,Responsable d'extraction,ICMP,80.41
STD_2026_0086,Étudiant,16,F,D,Électronique numérique; C/C++ embarqué; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,57.44
STD_2026_0087,Étudiant,16,F,S,SQL & Bases de données; Machine Learning; Résolution de problèmes,Data Scientist / IA,IGGLIA,81.83
STD_2026_0088,Étudiant,16,F,G,Infographie & 3D; Réseaux informatiques; Résolution de problèmes,Développeur Web/Mobile,IMTICIA,84.0
STD_2026_0089,Étudiant,18,F,Technique,PowerBI & Analytics; Python / R Data; Résolution de problèmes,Data Scientist,ISAIA,54.09
STD_2026_0090,Étudiant,17,F,A,Écotourisme & Biodiversité; Ingénierie touristique; Résolution de problèmes,Chef de projet Développement Durable,TEE,77.42
STD_2026_0091,Étudiant,18,M,A1,Yield Management; Management hôtelier; Résolution de problèmes,Chef de projet Événementiel,TEH,88.75
STD_2026_0092,Étudiant,18,F,A2,Techniques de Vente; Marketing Digital; Résolution de problèmes,Business Developer,CAA,71.13
STD_2026_0093,Étudiant,21,M,L,Analyse fiscale; Droit des contrats; Résolution de problèmes,Assistant Juridique,DTJA,81.98
STD_2026_0094,Étudiant,19,M,C,Gestion des risques; Gestion de projet Agile/PMP; Résolution de problèmes,Consultant en Organisation,EMP,77.93
STD_2026_0095,Étudiant,20,F,D,Audit financier; Comptabilité générale & analytique; Résolution de problèmes,Directeur Financier (CFO),FIC,85.38
STD_2026_0096,Étudiant,19,M,S,Agronomie; Analyse des sols; Résolution de problèmes,Agronome,AEE,77.17
STD_2026_0097,Étudiant,19,M,G,Biochimie alimentaire; Microbiologie; Résolution de problèmes,Responsable Qualité HACCP,IAA,59.02
STD_2026_0098,Étudiant,19,F,Technique,Normes GMP/BPF; Analyse en laboratoire; Résolution de problèmes,Délégué médical,PIP,61.53
STD_2026_0099,Étudiant,20,M,A,Automatisme PLC; CAO Mécanique; Résolution de problèmes,Automaticien,EMII,48.45
STD_2026_0100,Étudiant,21,M,A1,Métré et devis; Calcul de structures; Résolution de problèmes,Architecte collaborateur,GCA,44.27
STD_2026_0101,Étudiant,21,F,A2,Raffinage et extraction; Géologie minière; Résolution de problèmes,Géologue minier,ICMP,41.03
STD_2026_0102,Étudiant,17,F,L,Microcontrôleurs IoT; C/C++ embarqué; Résolution de problèmes,Ingénieur Robotique,ESIIA,40.03
STD_2026_0103,Étudiant,16,M,C,Génie Logiciel & Java/Web; SQL & Bases de données; Résolution de problèmes,Data Scientist / IA,IGGLIA,88.78
STD_2026_0104,Étudiant,20,M,D,Développement Web/Mobile; UI/UX Design; Résolution de problèmes,Administrateur Réseaux & TIC,IMTICIA,68.81
STD_2026_0105,Étudiant,20,F,S,Machine Learning & Deep Learning; Python / R Data; Résolution de problèmes,Data Scientist,ISAIA,84.57
STD_2026_0106,Étudiant,20,M,G,Écotourisme & Biodiversité; Gestion de projets durables; Résolution de problèmes,Responsable Parc Naturel,TEE,73.39
STD_2026_0107,Étudiant,20,M,Technique,Yield Management; Gestion événementielle; Résolution de problèmes,Directeur de l'Hébergement,TEH,48.25
STD_2026_0108,Étudiant,16,F,A,Techniques de Vente; Marketing Digital; Résolution de problèmes,Chef de Produit Marketing,CAA,72.28
STD_2026_0109,Étudiant,18,M,A1,Conseil d'entreprise; Droit des contrats; Résolution de problèmes,Gestionnaire de Contrats,DTJA,82.12
STD_2026_0110,Étudiant,17,M,A2,Gestion de projet Agile/PMP; Analyse financière; Résolution de problèmes,Analyste Économique,EMP,72.63
STD_2026_0111,Étudiant,18,F,L,Comptabilité générale & analytique; Contrôle de gestion; Résolution de problèmes,Contrôleur de Gestion,FIC,49.3
STD_2026_0112,Étudiant,18,M,C,Agronomie; Gestion d'exploitation; Résolution de problèmes,Chef d'exploitation,AEE,82.13
STD_2026_0113,Étudiant,20,F,D,Biochimie alimentaire; Microbiologie; Résolution de problèmes,Biologiste industriel,IAA,76.4
STD_2026_0114,Étudiant,19,F,S,Analyse en laboratoire; Chimie organique; Résolution de problèmes,Technicien supérieur en pharmacologie,PIP,75.83
STD_2026_0115,Étudiant,20,F,G,CAO Mécanique; Maintenance industrielle; Résolution de problèmes,Automaticien,EMII,39.46
STD_2026_0116,Étudiant,19,F,Technique,AutoCAD/Revit; Calcul de structures; Résolution de problèmes,Architecte collaborateur,GCA,90.01
STD_2026_0117,Étudiant,18,M,A,Normes QHSE; Raffinage et extraction; Résolution de problèmes,Responsable d'extraction,ICMP,52.78
STD_2026_0118,Étudiant,17,F,A1,Microcontrôleurs IoT; C/C++ embarqué; Résolution de problèmes,Concepteur Électronique,ESIIA,53.03
STD_2026_0119,Étudiant,20,F,A2,Machine Learning; SQL & Bases de données; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,80.72
STD_2026_0120,Étudiant,19,F,L,Développement Web/Mobile; Réseaux informatiques; Résolution de problèmes,Concepteur Multimédia,IMTICIA,80.73
STD_2026_0121,Étudiant,16,F,C,Statistiques inférentielles; Python / R Data; Résolution de problèmes,Consultant Big Data,ISAIA,76.76
STD_2026_0122,Étudiant,19,F,D,Ingénierie touristique; Guide & Médiation; Résolution de problèmes,Responsable Parc Naturel,TEE,77.84
STD_2026_0123,Étudiant,18,F,S,Gestion événementielle; Management hôtelier; Résolution de problèmes,Directeur de l'Hébergement,TEH,47.93
STD_2026_0124,Étudiant,19,F,G,Negociation internationale; Analyse Marché; Résolution de problèmes,Directeur des Ventes,CAA,79.84
STD_2026_0125,Étudiant,19,M,Technique,Analyse fiscale; Droit des contrats; Résolution de problèmes,Juriste d'Entreprise,DTJA,43.87
STD_2026_0126,Étudiant,18,M,A,Gestion des risques; Analyse financière; Résolution de problèmes,Chef de Projet,EMP,74.46
STD_2026_0127,Étudiant,17,M,A1,Comptabilité générale & analytique; Audit financier; Résolution de problèmes,Directeur Financier (CFO),FIC,48.28
STD_2026_0128,Étudiant,16,F,A2,Analyse des sols; Agronomie; Résolution de problèmes,Agronome,AEE,66.39
STD_2026_0129,Étudiant,16,F,L,Biochimie alimentaire; Microbiologie; Résolution de problèmes,Responsable Qualité HACCP,IAA,42.46
STD_2026_0130,Étudiant,20,F,C,Normes GMP/BPF; Analyse en laboratoire; Résolution de problèmes,Assistant de recherche galénique,PIP,78.53
STD_2026_0131,Étudiant,17,M,D,CAO Mécanique; Automatisme PLC; Résolution de problèmes,Concepteur Mécatronique,EMII,77.82
STD_2026_0132,Étudiant,21,F,S,Calcul de structures; Conduite de chantier BTP; Résolution de problèmes,Conducteur de travaux,GCA,94.74
STD_2026_0133,Étudiant,17,M,G,Normes QHSE; Génie des procédés; Résolution de problèmes,Ingénieur QHSE,ICMP,57.78
STD_2026_0134,Étudiant,19,M,Technique,C/C++ embarqué; Microcontrôleurs IoT; Résolution de problèmes,Concepteur Électronique,ESIIA,77.02
STD_2026_0135,Étudiant,20,M,A,SQL & Bases de données; Machine Learning; Résolution de problèmes,Architecte SI,IGGLIA,78.46
STD_2026_0136,Étudiant,17,F,A1,Réseaux informatiques; UI/UX Design; Résolution de problèmes,Designer UI/UX,IMTICIA,68.06
STD_2026_0137,Étudiant,20,F,A2,PowerBI & Analytics; Python / R Data; Résolution de problèmes,Statisticien Décisionnel,ISAIA,47.35
STD_2026_0138,Étudiant,16,F,L,Guide & Médiation; Gestion de projets durables; Résolution de problèmes,Consultant Écotourisme,TEE,82.32
STD_2026_0139,Étudiant,21,M,C,Management hôtelier; Yield Management; Résolution de problèmes,Directeur de l'Hébergement,TEH,50.94
STD_2026_0140,Étudiant,19,F,D,Techniques de Vente; Negociation internationale; Résolution de problèmes,Business Developer,CAA,71.69
STD_2026_0141,Étudiant,19,M,S,Analyse fiscale; Droit des contrats; Résolution de problèmes,Juriste d'Entreprise,DTJA,47.97
STD_2026_0142,Étudiant,19,F,G,Étude d'impact économique; Gestion de projet Agile/PMP; Résolution de problèmes,Chef de Projet,EMP,69.04
STD_2026_0143,Étudiant,21,M,Technique,Contrôle de gestion; Audit financier; Résolution de problèmes,Directeur Financier (CFO),FIC,50.74
STD_2026_0144,Étudiant,17,M,A,Analyse des sols; Agronomie; Résolution de problèmes,Agronome,AEE,73.75
STD_2026_0145,Étudiant,19,F,A1,Process agroalimentaires; Microbiologie; Résolution de problèmes,Responsable Qualité HACCP,IAA,50.11
STD_2026_0146,Étudiant,18,F,A2,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Responsable contrôle qualité labo,PIP,47.48
STD_2026_0147,Étudiant,18,F,L,Automatisme PLC; Électrotechnique; Résolution de problèmes,Concepteur Mécatronique,EMII,40.44
STD_2026_0148,Étudiant,16,F,C,AutoCAD/Revit; Calcul de structures; Résolution de problèmes,Ingénieur Génie Civil,GCA,75.2
STD_2026_0149,Étudiant,17,F,D,Normes QHSE; Raffinage et extraction; Résolution de problèmes,Responsable d'extraction,ICMP,91.73
STD_2026_0150,Étudiant,16,M,S,Microcontrôleurs IoT; Signal & Traitement; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,81.48
STD_2026_0151,Étudiant,20,M,G,Algorithmique & Python; Génie Logiciel & Java/Web; Résolution de problèmes,Data Scientist / IA,IGGLIA,76.35
STD_2026_0152,Étudiant,19,M,Technique,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,Concepteur Multimédia,IMTICIA,83.6
STD_2026_0153,Étudiant,18,M,A,Machine Learning & Deep Learning; Statistiques inférentielles; Résolution de problèmes,Statisticien Décisionnel,ISAIA,45.33
STD_2026_0154,Étudiant,21,M,A1,Gestion de projets durables; Écotourisme & Biodiversité; Résolution de problèmes,Chef de projet Développement Durable,TEE,76.69
STD_2026_0155,Étudiant,19,M,A2,Communication interculturelle; Management hôtelier; Résolution de problèmes,Responsable d'Agence de Voyage,TEH,80.84
STD_2026_0156,Étudiant,19,M,L,Techniques de Vente; Marketing Digital; Résolution de problèmes,Business Developer,CAA,74.45
STD_2026_0157,Étudiant,21,M,C,Conseil d'entreprise; Droit des contrats; Résolution de problèmes,Juriste d'Entreprise,DTJA,51.63
STD_2026_0158,Étudiant,16,M,D,Analyse financière; Étude d'impact économique; Résolution de problèmes,Chef de Projet,EMP,74.41
STD_2026_0159,Étudiant,16,M,S,Comptabilité générale & analytique; Audit financier; Résolution de problèmes,Comptable Senior,FIC,84.01
STD_2026_0160,Étudiant,18,F,G,Gestion d'exploitation; Analyse des sols; Résolution de problèmes,Conseiller agricole,AEE,48.9
STD_2026_0161,Étudiant,16,F,Technique,Process agroalimentaires; Biochimie alimentaire; Résolution de problèmes,Ingénieur Agroalimentaire,IAA,71.55
STD_2026_0162,Étudiant,18,M,A,Pharmacologie; Chimie organique; Résolution de problèmes,Délégué médical,PIP,53.74
STD_2026_0163,Étudiant,20,M,A1,Maintenance industrielle; Électrotechnique; Résolution de problèmes,Automaticien,EMII,52.89
STD_2026_0164,Étudiant,20,M,A2,Calcul de structures; Conduite de chantier BTP; Résolution de problèmes,Conducteur de travaux,GCA,45.75
STD_2026_0165,Étudiant,18,F,L,Raffinage et extraction; Génie des procédés; Résolution de problèmes,Ingénieur Procédés,ICMP,28.15
STD_2026_0166,Étudiant,17,F,C,Électronique numérique; C/C++ embarqué; Résolution de problèmes,Développeur IoT,ESIIA,77.87
STD_2026_0167,Étudiant,17,M,D,Génie Logiciel & Java/Web; Algorithmique & Python; Résolution de problèmes,Architecte SI,IGGLIA,77.24
STD_2026_0168,Étudiant,18,M,S,Réseaux informatiques; UI/UX Design; Résolution de problèmes,Concepteur Multimédia,IMTICIA,81.33
STD_2026_0169,Étudiant,21,F,G,PowerBI & Analytics; Statistiques inférentielles; Résolution de problèmes,Data Analyst,ISAIA,73.45
STD_2026_0170,Étudiant,21,F,Technique,Gestion de projets durables; Guide & Médiation; Résolution de problèmes,Responsable Parc Naturel,TEE,58.2
STD_2026_0171,Étudiant,16,M,A,Communication interculturelle; Management hôtelier; Résolution de problèmes,Manager d'Hôtel,TEH,79.2
STD_2026_0172,Étudiant,16,M,A1,Techniques de Vente; Marketing Digital; Résolution de problèmes,Chef de Produit Marketing,CAA,76.31
STD_2026_0173,Étudiant,16,M,A2,Droit des contrats; Analyse fiscale; Résolution de problèmes,Juriste d'Entreprise,DTJA,77.44
STD_2026_0174,Étudiant,19,F,L,Étude d'impact économique; Analyse financière; Résolution de problèmes,Analyste Économique,EMP,64.01
STD_2026_0175,Étudiant,21,M,C,Contrôle de gestion; Gestion de trésorerie; Résolution de problèmes,Directeur Financier (CFO),FIC,75.5
STD_2026_0176,Étudiant,20,M,D,Agronomie; Gestion d'exploitation; Résolution de problèmes,Responsable d'élevage,AEE,70.18
STD_2026_0177,Étudiant,19,F,S,Contrôle qualité HACCP; Microbiologie; Résolution de problèmes,Conducteur de ligne de production,IAA,79.07
STD_2026_0178,Étudiant,19,F,G,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Assistant de recherche galénique,PIP,48.59
STD_2026_0179,Étudiant,20,F,Technique,Maintenance industrielle; CAO Mécanique; Résolution de problèmes,Concepteur Mécatronique,EMII,76.61
STD_2026_0180,Étudiant,19,M,A,Métré et devis; Conduite de chantier BTP; Résolution de problèmes,Architecte collaborateur,GCA,42.12
STD_2026_0181,Étudiant,16,M,A1,Génie des procédés; Normes QHSE; Résolution de problèmes,Ingénieur Procédés,ICMP,48.18
STD_2026_0182,Étudiant,16,F,A2,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,45.51
STD_2026_0183,Étudiant,17,M,L,Génie Logiciel & Java/Web; SQL & Bases de données; Résolution de problèmes,Architecte SI,IGGLIA,43.94
STD_2026_0184,Étudiant,21,M,C,Réseaux informatiques; Développement Web/Mobile; Résolution de problèmes,Designer UI/UX,IMTICIA,82.37
STD_2026_0185,Étudiant,21,F,D,PowerBI & Analytics; Statistiques inférentielles; Résolution de problèmes,Data Scientist,ISAIA,75.99
STD_2026_0186,Étudiant,21,F,S,Gestion de projets durables; Guide & Médiation; Résolution de problèmes,Responsable Parc Naturel,TEE,81.93
STD_2026_0187,Étudiant,19,F,G,Yield Management; Management hôtelier; Résolution de problèmes,Chef de projet Événementiel,TEH,82.14
STD_2026_0188,Étudiant,17,F,Technique,Marketing Digital; Techniques de Vente; Résolution de problèmes,Responsable Commercial,CAA,69.98
STD_2026_0189,Étudiant,21,M,A,Rédaction juridique; Conseil d'entreprise; Résolution de problèmes,Consultant Fiscaliste,DTJA,80.21
STD_2026_0190,Étudiant,18,M,A1,Étude d'impact économique; Analyse financière; Résolution de problèmes,Scrum Master,EMP,73.88
STD_2026_0191,Étudiant,20,M,A2,Contrôle de gestion; Comptabilité générale & analytique; Résolution de problèmes,Auditeur Financier,FIC,55.41
STD_2026_0192,Étudiant,18,M,L,Analyse des sols; Zootechnie; Résolution de problèmes,Conseiller agricole,AEE,51.42
STD_2026_0193,Étudiant,20,F,C,Biochimie alimentaire; Contrôle qualité HACCP; Résolution de problèmes,Biologiste industriel,IAA,83.8
STD_2026_0194,Étudiant,21,F,D,Pharmacologie; Chimie organique; Résolution de problèmes,Responsable contrôle qualité labo,PIP,81.88
STD_2026_0195,Étudiant,18,F,S,Automatisme PLC; Maintenance industrielle; Résolution de problèmes,Ingénieur Électromécanicien,EMII,90.39
STD_2026_0196,Étudiant,16,M,G,Conduite de chantier BTP; Calcul de structures; Résolution de problèmes,Architecte collaborateur,GCA,53.84
STD_2026_0197,Étudiant,17,M,Technique,Normes QHSE; Génie des procédés; Résolution de problèmes,Ingénieur QHSE,ICMP,96.94
STD_2026_0198,Étudiant,20,F,A,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,55.47
